,▼背景,企業とのマッチング度を定量的に自己採点できないだろうか？,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
